TIPO;ESTADO;RED;NOMENCLATURA;EQUIPO A;EQUIPO B;DEPENDENCIA;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;ACOMETIDA 1;ACOMETIDA 2;TRIBUTARIO;CONEXIÓN OTRAS DEPENDENCIAS;OTRAS DEPENDENCIAS;SERVICIOS REGULARIZADOS;INFRAESTRUCTURA INSTALADA;OBSERVACIONES;MIGRAR;EJECUTIVO DE CUENTA
Nodo;ACTIVO;MAN ;CANCILL_M_40322.arsat.com;ASR9KPHAC01;-;Cancillería;Esmeralda 1216;-34,593861;-58,378867;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;METROTEL;TASA;NO;NO;-;NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;NO;Sin Asignación
Nodo;ACTIVO;MAN ;MIN_DES_SOCIAL.arsat.com;ASR9KPHAC01;-;Ministerio de Desarrollo Social;Av. 9 de Julio 1925, Piso 20;-34,612147;-58,381655;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;-;METROTEL;SI;NO;-;NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;SI;Julio Bort
Nodo;ACTIVO;MAN ;MIN_SALUD_GCBA;ASR9KPHAC01;-;Ministerio de Salud GCBA;Av. 9 de Julio 1925, Piso 5;-34,612147;-58,381655;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CIRION;-;SI;NO;-;NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;SI;María del Mar Andrada
Nodo;ACTIVO;MAN ;MIN_AGROINDUSTRIA;ASR9KPHAC01;-;Ministerio de Agricultura, Ganaderia y Pesca;Av. Paseo Colón 982;-34,618603;-58,368063;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;-;NO;NO;-;NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;SI;Martín Iguaín
Nodo;ACTIVO;MAN ;MIN_CyT_M_40325.arsat.com;ASR9KPHAC01;ASR9KPBNZ01;Ministerio de Ciencia, Tecnología e Innovación Productiva;Godoy Cruz 2320 Piso 1;-34,582828;-58,429451;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;METROTEL;NO;NO;-;NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;NO;Miguel Tobia
Nodo;ACTIVO;MAN ;CCK_M_29474;ASR9KPHAC01;ASR9KPBNZ01;CCK;Sarmiento 151 piso 7;-34,603280;-58,369449;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;METROTEL;METROTEL;NO;NO;-;NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;SI;Miguel Tobia
Nodo;ACTIVO;MAN ;AABE_M_40317.arsat.com;ASR9KPHAC01;ASR9KPBNZ01;Agencia de Administración de Bienes del Estado;Av. Ramos Mejía 1302;-34,592231;-58,375178;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;METROTEL;SI;SI;AABE, SOFSE, ADIFSE;NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;NO;Miguel Tobia
Nodo;ACTIVO;MAN ;"
MIGRACIONES_TASA.arsat.com";ASR9KPHAC01;-;Dirección Nacional de Migraciones;Av. Antártida Argentina 1355;-34,592878;-58,369411;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;-;NO;NO;-;SI;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;NO;Pablo Olivera
Nodo;ACTIVO;MAN ;MIN_SEG;ASR9KPHAC01;ASR9KPBNZ01;Ministerio de Seguridad;México 12;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;METROTEL;SI;SI;PNA, PSA;SI, NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;SI;Miguel Tobia
Nodo;ACTIVO;MAN ;PUERTO BUENOS AIRES;MIN_SEG;-;Puerto Buenos Aires;NN;-34,614749;-58,367239;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;-;-;SI;NO;-;SI, NO;Sin datos.;En sitio ARSAT colocó un router Cisco ASR1000x.;NO;Miguel Tobia
